Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|NG_049986.1|+|101-1030|ARO:3006990|SGM-4	SGM-4	3006990	protein homolog model	CARD	CARD curation	no data	no data	Bacteria, Viruses,	1	0	1	3.76	35	59.00	*	930	SGM beta-lactamase	carbapenem	antibiotic inactivation
gb|NG_049988.1|+|101-1081|ARO:3006992|SGM-6	SGM-6	3006992	protein homolog model	CARD	CARD curation	no data	no data	Bacteria, Viruses,	10	0	10	3.06	30	15.00	*	981	SGM beta-lactamase	carbapenem	antibiotic inactivation
gb|M97297.1|+|6018-6986|ARO:3002942|vanH_in_vanA_cl	vanH gene in vanA cluster	3002942	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	7	0	7	63.16	612	40.14	*	969	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|M97297.1|+|8016-8624|ARO:3002949|vanX_in_vanA_cl	vanX gene in vanA cluster	3002949	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	2	0	2	30.21	184	42.50	*	609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|X53650.1|+|320-1235|ARO:3003565|R39	R39	3003565	protein homolog model	CARD	CARD curation	no data	no data	Actinomadura sp.	1	0	1	3.28	30	15.00	*	915	R39 beta-lactamase	penam	antibiotic inactivation
gb|U35369.1|+|3182-4010|ARO:3002964|vanW_in_vanB_cl	vanW gene in vanB cluster	3002964	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	1	0	1	10.63	88	54.00	*	828	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AE004091.2|+|4707534-4710624|ARO:3000808|MexI	MexI	3000808	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	732	0	732	27.18	840	33.02	*	3090	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|CP001840.1|-|1610636-1613960|ARO:3003730|Bbif_ileS_MUP	Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	protein homolog model	CARD	CARD curation	no data	no data	Bifidobacterium bifidum	278	0	278	27.47	913	39.99	*	3324	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
gb|KF485393.2|+|6723-7632|ARO:3003894|Rm3	Rm3	3003894	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	0	1	4.40	40	54.00	*	909	Rm3 family beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bado_rpoB_RIF	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD	CARD curation	no data	no data	Bifidobacterium adolescentis	4426	0	4426	53.83	1917	38.94	*	3561	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
gb|AF353562.1|+|963-1920|ARO:3005008|TxR	TxR	3005008	protein homolog model	CARD	CARD curation	no data	no data	Vibrio harveyi	3	0	3	3.87	37	60.00	*	957	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|KF478993.1|-|4909-5947|ARO:3002941|vanS_in_vanO_cl	vanS gene in vanO cluster	3002941	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	496	0	496	64.26	667	39.17	*	1038	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|FJ349556.1|+|981-1680|ARO:3002928|vanR_in_vanM_cl	vanR gene in vanM cluster	3002928	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	1	0	1	7.87	55	25.00	*	699	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
gb|KF478993.1|-|6002-6704|ARO:3002930|vanR_in_vanO_cl	vanR gene in vanO cluster	3002930	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	1114	0	1114	96.58	678	45.72	*	702	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
gb|KR857681.1|+|0-1248|ARO:3004613|tet(47)	tet(47)	3004613	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	3	0	3	23.40	292	29.00	*	1248	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|AJ311171.1|-|12109-13189|ARO:3005166|tet(X1)	tet(X1)	3005166	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides thetaiotaomicron	1	0	1	10.19	110	48.00	*	1080	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|X53401.1|+|0-1992|ARO:3002891|otr(A)S.rim	Streptomyces rimosus otr(A)	3002891	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces rimosus	37	0	37	18.37	366	41.89	*	1992	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
gb|M74049.1|+|342-2262|ARO:3007127|otr(A)S.liv	Streptomyces lividans otr(A)	3007127	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lividans	15	0	15	10.16	195	40.20	*	1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
gb|AL123456.3|-|2325885-2326809|ARO:3007182|blaC	blaC	3007182	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	4	0	4	16.77	155	60.00	*	924	class A Mycobacterium tuberculosis bla beta-lactamase	cephalosporin; cephamycin; penam; penem	antibiotic inactivation
gb|CP018074.1|+|518413-519844|ARO:3007209|Sven_rox	Streptomyces venezuelae rox	3007209	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces venezuelae	266	0	266	82.81	1185	43.12	*	1431	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation
gb|AP006618.1|+|3747376-3748798|ARO:3007210|Nfar_rox	Nocardia farcinica rox	3007210	protein homolog model	CARD	CARD curation	no data	no data	Nocardia farcinica	214	0	214	63.50	903	38.32	*	1422	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation
gb|FR845719.1|-|6559170-6561339|ARO:3007208|HelR	HelR	3007208	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces venezuelae	418	0	418	82.48	1789	46.78	*	2169	helicase-like RNA polymerase protection protein	rifamycin antibiotic	antibiotic target protection
